FROM/ID,12:00 AM,1:00 AM,2:00 AM,3:00 AM,4:00 AM,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM
13167,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13169,1,0,0,0,0,5,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1
13170,1,0,0,0,0,7,12,5,2,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0
13173,1,0,0,0,0,7,2,4,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1
13177,1,0,0,0,0,5,1,1,1,0,0,0,1,0,1,2,0,0,0,0,1,0,1,1
13178,2,0,0,0,0,5,25,16,8,3,4,1,0,0,0,0,0,0,2,1,2,0,0,2
13179,1,0,0,0,0,3,3,3,3,4,1,0,1,1,0,1,2,0,0,0,0,2,1,3
13181,2,0,0,0,0,2,6,18,8,5,2,0,1,1,3,2,2,0,1,1,0,1,0,1
13183,1,0,0,0,0,1,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13184,1,0,0,0,0,1,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
29568,0,0,0,0,0,0,3,3,5,3,1,1,0,0,3,1,1,1,0,1,0,0,1,0
37760,1,0,0,0,0,1,3,4,1,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0
13185,1,1,0,0,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13187,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
13195,0,0,0,0,0,0,1,3,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
29582,0,0,0,0,0,0,4,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
13200,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13202,1,0,0,0,0,3,2,13,4,4,2,1,0,1,1,0,1,0,1,1,1,0,0,0
13204,4,2,0,1,0,10,20,35,14,4,6,1,1,1,4,3,4,1,2,7,0,5,3,7
